Paragraph,Clause Classification,Explanation,Clause Type,Clause Meaning,Clause Example
BANK GUARANTEE FORMAT FOR REEXPORT OF REJECTED EQUIPMENT FOR REPAIRS  REPLACEMENT The President of India Acting through the Director Purchase  Stores Department of Atomic Energy  Vikram Sarabhai Bhavan Anushaktinagar  Mumbai 400094,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Whereas on or about the day of  200  Ms  a company having incorporated their office at hereinafte r referred to as the contractor entered into an agreement bearing No  dt hereinafter referred to as the contract with th e President of India acting through the Director Purchase  Stores Directorate of Purchase  Stores Department of Atomic Energy Government of India Mumbai Hereinafter referred to as the Government for manufacture and s upply of  Nos of hereinafter referred to as the instrument at a cost of   in words,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Whereas as per the Government policy the contractor was required to furnish a Bank Guarantee for full value of the defective instruments amounting to  in words as a safeguard to the government on account of any damageloss that may be caused or suffered by the government due to the contractors inabilityfailure to return the instrument duly repaired or supply a new instrument in repl acement of the defective instrume nt within the specified time and also when the instruments lie under the contractors custody control or possession,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Whereas the contractor based on the governments requirement h as agreed to furnish such a Bank Guarantee as a safeguard to the government interest as indicated in para 4 above valid  till the return of the repaired instruments or a replacement thereof to the government,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We  the Bank do hereby undertake to pay to the Dir ector Purchase  Stores Department of Atomic Energy Government of India the amount due and payable under this  guarantee without any demur merely on a demand from the Director Purchase  Stores Department of Atomic Energy on behalf of the government stating that the amount claimed is due by way of loss or damage caused to or would be caused to  or suffered by the Government by reason of the contractor either not returning the instrument duly repaired or a rrange free replacement to the government and also when the instrument lie under the custody control or possession of cont ractor Any such demand on the Bank shall be conclusive as regards the amount due and payable by the bank under this gua rantee However our liability under this guarantee shall be restricted to an amount not exceeding   in words,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We undertake to pay to the Government any money so dema nded notwithstanding any dispute or disputes raised by the contractors or by agents in any suit or proceeding pending be fore any court or tribunal re lating thereto our liability under this present being absolute and unequivocal,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Unconditional Payment Obligation,"This clause establishes the bank's absolute and unequivocal commitment to honor payment demands under the Bank Guarantee, regardless of any disputes raised by the contractor or any ongoing legal proceedings. It ensures that the beneficiary (the Government) receives the guaranteed amount upon demand without requiring proof of default or justification. The bank waives its right to delay or deny payment due to pending legal challenges.","The Bank irrevocably undertakes to pay the Government any amount demanded under this guarantee, irrespective of any dispute or legal proceeding initiated by the contractor or any third party. The Bank's liability shall be absolute and unconditional"
This guarantee will not be discharged due to the change in th e constitution of the bank the contractors or the agents,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Our guarantee shall remain in force un til  and unless a claim under the guara ntee is lodged with us within three months from that date all rights of the government under the guarantee shall be forfeited and we shall be relieved and discharged from all liabilities thereunder,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
This deed of Guarantee made this day of   between   name of bank having registered office at    and branch office at      hereinafter referred to as Bank of the one part and Dedicated Freight Corridor Corporation of India Limited  Noida hereinafter called the DFCCIL  of the other part,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Hereinafter  called the Contract To Ms    its registered office at   hereinafter called the Contractor Whereas the contractor is bound by the said Co ntract to submit to the  DFCCIL  an irrevocable performance security guarantee bond for a total amount of Rs   Rs in words,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Now we the undersigned Name of Bank official of the bank being fully authorized to sign and to incur obligations for and on behalf o f the B ank hereby declare that the said Bank will guarantee the DFCCIL  the full amount of Rs   Rs in words as stated above,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
After the Contractor has signed the afor esaid contract with the DFCCIL  the Bank further agree and promise to pay the amount due and payable under this guarantee without any demure mere ly on a demand from the DFCCIL  stating that the amount claimed is due by way of loss or damage cause to or woul d be caused or suffered by the DFCCIL  by reason of any breach by th e said contractor of any of the terms or conditions contained in the said agreement or by reason of the contractor failure to perform the said agreement Any such demand made on the Bank shall be conclusive as regards the amount due and payable by the Bank  under this guarantee However our liability under this guarantee shall be restricted to an amount not exceeding Rs    in words only,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We   indicate the name of bank to further agree that the guara ntee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said agreement and that it shall continue to be enforceable t ill all the dues of the DFCCIL  under or by virtue of the said agreemen t have been fully paid and its claims satisfied or discharged by   Designation  address of contract signing authority on behalf of DFCCIL  certify that the terms and conditions of the said agreement have been fully and properly carr ied out by the said contractor and accordingly discharges this guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Notwithstanding anything to the contrary contained herein the liability of the bank under this guarantee will remain in force and effect until such time as this guarantee is disch arged in writing by the DFCCIL  or until date of validityextended validity whichever is earlier and no claim shall be valid under the guarantee unless notice in writing thereof is given by the DFCCIL within validityextended validity period of guarantee from the date of aforesaid,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Renewal/Extension,Covers the process for extending the validity of the guarantee.,"In case of project delays, the validity of the guarantee shall be extended upon request."
Provided always that we  name of bank unconditionally undertakes to renew this guarantee or to extend the period of guarantee form year to year before the expiry of the period or the extended period of guarantee as th e case may be on being call ed upon to do so by the DFCCIL  If the guarantee is not renewed or the period extended on demand we  name of bank shall pay the  DFCCIL  the full amount of the guarantee on demand without demur,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
The Guarantee hereinbefore contained shall not be affected by any change in the constitution of Bank or of the Contractor,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We  name of the bank lastly undertake not to revoke this guarantee during its currency except with the previous consent of the DFCCIL  in writing,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
i Our liability under this Bank Guarantee shall not exceed and restricted to Rs  in words ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
ii This Bank Guarantee shall be valid up to  unles s extended on demand by DFCCIL ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Renewal/Extension,Covers the process for extending the validity of the guarantee.,"In case of project delays, the validity of the guarantee shall be extended upon request."
The Bank is liable to pay the guaranteed amount or any part thereof under this  Bank Guarantee only if DFCCIL  serve a written claim or demand on or before ,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Liability and Claim Period,"This clause specifies the conditions under which the bank is obligated to honor a claim made under the Bank Guarantee. It states that the bank is only liable to pay the guaranteed amount if a written claim or demand is served within a specified period. If the beneficiary (DFCCIL in this case) fails to submit a claim within this time frame, the bank has no further obligation under the guarantee.",
IN WITNESS WHEREOF we of the Bank have signed and stamped this guarantee on this day of  being herewith d uly authorized,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Request for Proposal Digitization of  Cadastral Maps  Digital India Land Records Modernization Programme Uttarakhand  Project Management Unit  DILR MP  Uttarakhand  248008   51 Annexure8 Format for Bank Guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
On Rs100 Stamp Paper Name of the Bank with Address To Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  248001 Dear Sir Guarantee No     Bank Guarantee Reference Number Amount of Guarantee   Rs Amount in Figures Guarantee cover   From  From Date to To Date Both dates inclusive This deed of guarantee executed by the having its Head Office at Head office place and amongst other places a branch at Branch Name hereinafter  referred to as the Bank which expression shall include its successors and assignees so as to bind ou rselves our successors and assignees in favor of  Commissioner cum Secretary Board of Revenue Uttara khand Dehradun  hereinafter referred to as the Beneficiary for an amount not exceeding Rs Rupees Amount in words at the request of Name of the Bidder hereinafter referred to as the Bidder NOW THEREFORE the Bank hereby unconditionally and irrevocably guarantee s and affirms as follows 1  The,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Bank hereby unconditionally and irrevocably guarantees the due and faithful performance of the Bidders obligation during the project under and in accordance with the bid document and agrees and undertakes to pay to The Beneficiary upon its mere written demand from time to time and without any demur reservation recourse contest or protest and without any reference to the Bidder such sum or sums up to an aggregate sum of the Bid Guarantee amount as the Beneficiar y shall claim without the Beneficiary being required to prove or to show grounds or reasons for its demand andor for the sum specified therein 2  This guarantee is issued subject to the conditi on that the liability of the bank under this bank guarantee is limited to a maximum of Rupees Amount in words and the guarantee shall remain in full force up to To Date and can no t to be invoked otherwise than by a written demand claim under this guarantee served on the bank,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Project Management Unit  DILR MP  Uttarakhand  248008   52 4  The Beneficiary shall have the liberty with out affecting in any manner the liability of the Bank under this Guarantee to vary at any time the terms and conditions of the Bid Document or to extend the time or period for the compliance with fulfillment and or performance of all or any of the obligations of  the Bidder contained in the Bid Document or to postpone for any time and from time to ti me any of the rights and powers exercisable by the Beneficiary against the Bidder and either to enforce or forbear from enforcing any of the terms and conditions contained in the Bid Document andor the securities available to the Beneficiary and the Bank shall not be released from its liability and obligation under these presents by any exercise by the Beneficiar y of the liberty with reference to the matters aforesaid or by reason of time being given to the Bidder or any other forbearance indulgence act or omission on the part of the Beneficiary or of any other matter or thing whatsoever which under any law relating to sureties and guarantors would but for this provision have the effect of releasing the Ba nk from its liability and obligation under this Guarantee and the Bank hereby waives all of its rights under any such law 5  In order to give effect to this Guarantee the Beneficiary shall be,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
entitled to act as if the Bank were the principal debtor and any change in the constitution of the Bidder andor the Bank whether by their absorption with any other body  or corporation or otherwise shall not in any way or manner affect the liability or ob ligation of the Bank under this Guarantee 6  It shall not be necessary and the Bank here by waives any necessity for the Beneficiary to proceed against the Bidder before presenting to the Bank its demand under the Guarantee 7  A letter from the Beneficiary under the hand of the  Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  of the Beneficiary that the Bidder has committed default in the due and faithful performance of all or any of its obligations under and in accordance with the bid document shall be conclusive final and binding on the Bank The Bank further agrees that the Beneficiary shall be the sole judge as to whether the Bidder is in default in due and faithful performance of its obligations under the bid document and its decision that the Bidder is in default shall be final and binding on the Bank notwithstanding any differences between the Beneficiary and the Bidder or any dispute between them pending before any court tribunal arbitrators or any other Corporation or body or by the discharge of the Bidder for any reason whatsoever 8  This Guarantee is in addition to an,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
not in substitution of any Guarantee or Security now or which may hereafter be held by the Bidder in respect of or relating to the Agreement or for the fulfillment compliance andor performance of  all or any of the obligations of the Bidder under the Agreement 9  We undertake to pay to the Commissioner cu m Secretary Board of Revenue Uttarakhand Dehradun up to the above amount upon receipt of its first written demand without the Beneficiary having to substantiate its demand 10  This guarantee will remain in force as specif ied in Clause respective clause number in the tender of the Bid document and any demand in respect thereof should reach the Bank not later than date from the date of expiry of this Guarantee 11  Notwithstanding anything contained herein the Banks liability under this Guarantee shall be restricted to Rs Amount in words and the Guarantee shall remain in force only up to date and unless a demand or claim in writing is made by the Beneficiary on the Bank on this Guarantee not later than date from the date  of expiry of this Guarantee all rights of the Beneficiary under this Guarantee shall be forfeited and the bank shall be discharged from all liabilities under this Guarantee,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
Project Management Unit  DILR MP  Uttarakhand  248008   53 12  The Bank undertakes not to revoke this Guarantee during its currency except with the previous express consent of the Beneficiary in wr iting and declares that it has the power to issue this Guarantee and the undersigned has full powers to do so on behalf of the Bank 13  Any notice by way of request demand or otherwise hereunder may be sent by post addressed to Bank at its above referred branch which shall be deemed to have been duly authorized to receive such notice to effect paym ent thereof forthwith and if sent by post it shall be deemed to have given at the time when it ought to have been delivered in due course of post and in proving such notice when  given by post it shall be sufficient to prove that the envelope containing the notice was post ed and a certificate signed by an officer of the Bidder that the envelope wa s posted shall be conclusive 14  The Bank does hereby declare that Mr  Name of banks the authorized person with employee code and designation is authorized to sign this Guarantee on behalf of the bank and to bind the bank thereby Signed and sealed this,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
To Ms Mineral Exploration Corporation Limited Dr Babasaheb Ambedkar Bhavan Seminary Hills NAGPUR440 006 Maharashtra Bank Guarantee No  Guarantee Amount INR    Guara ntee cover from to  Last date of lodgment of claim,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Whereas Mineral Exploration Corporation Limited with registere d office at Dr Babasaheb Ambedkar Bhavan Seminary Hills Nagpur herein after referred to as the Company has given a contract vide work order No Dated against the Open Bid No    to Ms Name of Contract with full address  herein after referred to as   the Contractor  f o r Description of  Work  Whereas one of the condition of the contract that the contractor shall either remit a sum of Rupe es only as Security Deposit or submit a Ba nk Guarantee from any Nationaliz edRBI approved scheduled Indian Bank for the said sum for the due fulfillment of the sai d work order by the Contractor,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
In consideration of the Company having agreed to accept a Bank Guarantee from us towards such Security Deposit in lieu of cash deposit in accordance wit h the terms and conditions of the above contract We Name of Bank and full address herein after referred to as the Bank do hereby undertake to pay the compa ny merely on demand any sum f r o m  t i m e  t o    t i m e    d e m a n d e d    b y    t h e    C o m p a n y    u p  t o    a    m a x i m u m ofRupees Only being the amount of security deposit against any loss or damage caused to  or suffered by or would be caused to or suffered by the company by reason of any breach by  the said contractor of any of the terms and conditions contained in the said contract,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Any such demand made on the bank shall be conclusive as regards  the amount due and payable by the Bank under this Guarantee We the Bank undertake to pay the Company any money so demanded notwithstanding any dispute or disputes raised by the said contractor in any suit o r proceeding pending before any Court or Tribunal relating thereto our liability under this pr esent being absolute and unequivocal The payment so made by us under this guarantee sha ll be a valid discharge of our liability for payment there under and the said contractor shall  have not claim against us for making such payment,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
We the Bank further agree the guarantee herein contained shall remain in full force and effect during the period that would be taken for the performance of th e said contract and that shall,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
continue to be enforceable till all the dues of the company und er or by virtue of the said contract have been fully paid and its claim satisfied or discharged or t ill the company certifies that the terms and conditions of the said c ontract have been fully and p roperly carried out by the contractor and accordingly discharges this guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
This guarantee shall not be affected by any change in the const itution of the Bank or the company or the said contractor nor shall this guarantee be affe cted by any change in the constitution of the company or the said contractor by absorptio n with any other body or corporation and this guarantee shall be available to or enforce able by such body or corporation Notwithstanding anything contrary contained in any law for the  time being in force or banking practice this guarantee shall not be assignable or transferabl e by the beneficiary Notice or invocation by any person such as assignee transferee or agent of beneficiary shall not be entertained by the Bank Any invocation of guarantee can be mad e only by the beneficiary directly,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
Notwithstanding anything contained herein above a Our liability under this Bank Guarantee shall not exceed Rupee s only b This Guarantee shall be valid  up to per the term agreed in the  c o n t r a c t  a n d     date of expiry of Bank Guarantee as c We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or  d e m a n d  w i t h i n  i t s validity that is on or before date of expiry of Bank G uarantee For Name of the Bank Seal of the Bank Signature Name and Designation of the,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
authorized Signatory Notes a The Bank Guarantee should contain the name Designation and cod e no of the officers signing the guarantee b The address telephone no and other details of the Head Office  of the bank as well as of issuing Branch should be mentioned on the covering letter of  issuing Branch c We have power to issue this Guarantee in your favor and the und ersigned has full power to do so Signatory of Bank,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Page 1 of 2 FORMAT FOR PERFORMANCE BANK GUARANTEE PBG To be on non judicial stamp paper of appropriate value as per Stamp Act relevant to place of execution To be issued from SFMS enabled Bank Ref Bank Guarantee No          Date2024 To Himachal Pradesh State Electricity  Board  Limited CIN U40109HP2009SGC031255  Vidyut Bhawan HPSEBL Shimla 171004 HP 1 In consideration of the   name and address of the Applicant  Vendor hereinafter referred to as  Vendor for Rooftop So lar installation  submitting the response to the Office Memorandum issued by Ministry of New and Renewable Energy MNRE Govt of India dated 2nd Feb 2022  10th June 2022 inter alia for installation of grid connected rooftop solar plant at residential b uilding under Simplification of Procedure  Rooftop Solar Programme Ph II through National portal as per terms  conditions specifications standards specified issued from Ministry and subsequent guidelines issued by the Himachal Pradesh State Electricity Board,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Limited hereinafter referred to as  HPSEB L or Implementing Agency  and considering such response of name of the Applicant  Vendor as per the terms and conditions of the Office Memorandum  amendment thereof the   name  addre ss of Bank hereby agrees unequivocally irrevocably and unconditionally to pay to Himachal Pradesh State Electricity Board Limited  at Vidyut Bhawan HPSEBL Shimla 171004 HP forthwith on demand in writing from Himachal Pradesh State Electricity Boar d Limited  or any Officer authorized by it in this behalf any amount upto and not exceeding Rs 250000 Rs Two Lakh Fifty Thousand only on behalf of  Ms  name of the Applicant  Vendor 2 This guarantee shall be valid and binding on this Ba nk up Five 05 Years from date of issuance of the BG and shall not be terminable by notice or any change in the constitution of the Bank or the term of contract or by any other reasons whatsoever and our liability hereunder shall not be impaired or discha rged by any,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms.",Guarantee Amount and Validity Clause,"This clause specifies the financial limit of the Bank Guarantee (in this case, Rs. 2,50,000) and the validity period (five years from the date of issuance). It also states that the guarantee remains binding despite changes in the bank’s constitution, the contract’s terms, or other external factors. This ensures that the beneficiary can rely on the guarantee throughout its validity period without risk of premature termination.
","The Bank agrees to pay Himachal Pradesh State Electricity Board Limited (HPSEBL) any amount up to Rs. 2,50,000 upon written demand. This guarantee remains valid for a period of five years from the date of issuance and shall not be terminated by any change in the bank’s constitution or modifications to the contract terms"
extension of time or variations or alternations made given or agreed with or without our knowledge or consent by or between parties to the respective agreement 3 Our liability under this Guarantee is restricted to Rs 250000  Rs Two Lakh F ifty Thousand only 4 Our Guarantee shall remain in force until  Insert the Exact Date completing on 5 Years counting from Date of signing of BG  and Himachal Pradesh State Electricity Board Limited  shall be entitled to invoke this Guarantee til l  Insert the Exact Date completing on 5 Years counting from Date of signing of BG   5      The Guarantor Bank hereby agrees and acknowledges that the Himachal Pradesh State Electricity Board  Limited shall have a right to invoke this BANK GUARANTEE in part o r in full as it may deem fit 6 The Guarantor Bank hereby expressly agrees that it shall not require any proof in addition to the written demand by Himachal Pradesh State Electricity Board  Limited  made in any format raised at the above,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Page 2 of 2 person The Guarantor Bank shall not require Himachal Pradesh State Electricity Board  Limited  to justify the invocation of this BANK GUARANTEE nor shall the Guarantor Bank have any recourse against Himachal Pradesh State Electricity Board  Limited  in respect of any payment made hereunder 8 This BANK GUARANTEE shall be interpreted in accordance with the laws of India and the courts at SHIMLAHIMACHAL PRADESH  shall have exclusive jurisdiction T he Guarantor Bank represents that this BANK GUARANTEE has been established in such form and with such content that it is fully enforceable in accordance with its terms as against the Guarantor Bank in the manner provided herein 9 This BANK GUARANTEE shall not be affected in any manner by reason of merger amalgamation restructuring or any other change in the constitution of the Guarantor Bank 10 This BANK GUARANTEE shall be a primary obligation of the Guarantor Bank and accordingly Himachal,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
Pradesh State El ectricity Board  Limited  shall not be obliged before enforcing this BANK GUARANTEE to take any action in any court or arbitral proceedings against the Vendor to make any claim against or any demand on the Vendor or to give any notice to the Vendor or to en force any security held by Himachal Pradesh State Electricity Board  Limited  or to exercise levy or enforce any distress diligence or other process against the Vendor 11 Notwithstanding anything contained hereinabove our liability under this Guarantee is restricted to Rs 250000  Rs Two Lakh Fifty Thousand only and it shall remain in force until   Insert the Exact Date completing on 5 Years counting from Date of signing of BG  with an additional claim period of thirty 30 days thereafter  We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only if Himachal Pradesh State Electricity Board  Limited serves upon us a written claim or demand,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses. By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Claim Period,Specifies the timeframe during which claims can be made under the guarantee.,Claims under this guarantee must be submitted within six months from the expiry date.
FORMAT FOR PERFORMANCE BANK GUARANTEE PBG To be on non judicial stamp paper of appropriate value as per Stamp Act relevant to place of execution,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
