Paragraph,Clause Type,Clause Meaning,Clause Example
11 We the Bank also agree that this guarantee will not be discharged due to change in the constitution of the Bank or  name of the  purchasing entity,Stability or Continuity Clause,,"A Stability or Continuity Clause in a bank guarantee ensures that the obligations of the bank under the guarantee will remain effective and enforceable despite any internal changes within the bank, such as changes in its structure, ownership, or management, or changes in the name or constitution of the beneficiary or contracting parties. This type of clause is crucial for providing assurance to the beneficiary that the guarantee will remain valid and unaffected by such internal changes."
3 12 Notwithstanding anything contained herein  i Our liability under this Bank Guarantee shall not exceed Rs Rupees only  ii This Bank Guarantee shall be valid up to   initial period of 2 years and shall at the request of the name of purchasing entity be extended from time to time and kept valid till the final disposal of Civil Appeal No 4801 of 2018  batch ma tters pending before Honble Supreme Court of India,Expiry,,The Expiry clause in a bank guarantee specifies the duration for which the guarantee remains valid and the conditions under which it will expire or can be extended. This is crucial as it defines the temporal scope of the bank's obligation.
Further a claim period of 180 days after validity period claim period is available to you to make a demand under the Bank Guarantee in respect of a cause of action which has arisen during the validit y period only,Claim Period,,"The claim period clause in a bank guarantee specifies the timeframe during which the beneficiary must make a claim under the guarantee once the validity period has expired. This clause ensures that the beneficiary has an additional period to action their rights, but only for causes that arose during the validity period of the guarantee."
iii We are liable to pay the guaranteed amount or any part thereof  under this Bank Guarantee only and only if you serve upon us a  written claim or demand on or before  mention  period of the guarantee as found under clause ii above plu s claim period   In witness where of the Bank through its authorised officer  has set its hand and stamp on this  day of August  2022  in the city of  ,Claim Period,,"The Claim Period clause in a bank guarantee specifies the time frame within which the beneficiary must make a claim to enforce the guarantee. If the claim is not made within this specified period, the bank's obligation to pay under the guarantee often becomes void. This clause is critical for defining the validity period of a claim against the guarantee provided."
Signature  Name Designation with Bank Stamp Official Address Witness  1  Signature  Name   Witness  2  Signature Name,Execution,,"The Execution clause in a bank guarantee or any legal document outlines the formal requirements for the document to be considered legally valid and effective. This generally includes the signatures of the parties involved, their titles or designations, and can also include official stamps or seals when required. It might also entail the presence of witnesses during the signing process, whose signatures also need to be appended. This clause confirms that those signing the guarantee are authorized to do so and that it is a recognized, deliberate action by the parties."
Bank guarantee format for Performance Guarantee  To be stamped in accordance with Stamp Act If any of the Country of the issuing Bank  Bank  Guarantee No,Governing Law,,"The Governing Law clause specifies which country's legal system will be used to interpret the terms of the agreement and resolve any disputes that arise under the bank guarantee. This clause ensures clarity and predictability by identifying the applicable legal framework and jurisdiction, helping parties understand their rights and obligations."
To Purchasers Name  Address  Dear Sirs  In consideration of the Purchaser s NameHereinafter referred to as the Purchaser which expression  shall unless repugnant to the c ontext or meaning thereof include its successors administrators and assigns having awarded to MsContractors Namewith its Registe redHead Office atHereinafter referred to as the Contractor Which expression shall unless repugnant to the context or meaning thereof include its successors administrators executors and assigns  a Contract by issue of Purchasers Purchase O rder Nodatedand the same having been acknowledged by the contractor forContract sum in figures and words forName of the work and the Contractor having  agreed to provide a Contract Performance Guarantee for the,Introduction / Preamble,,"The introduction or preamble of a bank guarantee provides context by identifying the parties involved, summarizing the underlying contract or transaction, and stating the purpose of the guarantee. It establishes the baseline of the agreement and often includes definitions of key terms used in the document."
faithful performance of the entire Contract equivalent to 10 of the said basic value of the aforesaid work under the Purchase Order,Performance Guarantee,,"A Performance Guarantee, sometimes referred to as a Performance Bond, is a clause used in contractual agreements where financial security is provided to ensure the fulfillment of one party's obligations to another. Specifically, it is designed to cover the loss in case the party fails to perform the contract specifications or defaults in its performance."
We Name   Address of the Bankhaving its Head Office athereinafter referred to as the Bank which expression shall unless r epugnant to the context of meaning thereof include its successors administrators executors and assigns do hereby guarantee and undertake to pay the Purchasers on demand any and all monies payable by the Contractor to the extent of as aforesaid at any time up  todaysmonthyear without any demur reservation contest recourse or protest andor without any reference to the Contractor  Any such demand made by the Purchasers on the Bank shal l be conclusive and binding not withstanding any difference between the Purchasers and the Contractor or any dispute pending before any Court Tribunal Arbitrator or any other authority  The Bank undertakes not to revoke this guarantee during its currency without previous consent of the Purchaser s and further agrees that the guarantees herein contained shall continue to be enforceable till the Purchaser discharges this guarantee or tilldaysmonthyear whichever is earlier,Demand Guarantee,,"A Demand Guarantee is a type of bank guarantee where the bank commits to pay the beneficiary a specified amount upon receiving a demand for payment. This payment must be made without the bank needing to verify the underlying details of the demand or any conflicts between the parties involved (the purchaser and the contractor in this case). The key feature of a demand guarantee is that it provides an assurance that the bank will honor the payment immediately upon demand, without delays or conditions tied to the actual contract performance or disputes."
The Purchaser shall have the fullest liberty without affecting in any  way the liability of the Bank under this guarantee from time to time to extend the time for performance of the Contract by the Contractor,Flexibility of Contract Terms,"This type of clause grants the purchaser the authority to modify or extend certain terms of the main contract (between the purchaser and the contractor), specifically the time for performance, without impacting the obligations of the bank under the guarantee. This ensures that adjustments in the main contract do not invalidate or reduce the bank's liability under the guarantee.","""Notwithstanding any alteration in the terms of the agreement between the principal and the beneficiary, or any extension of time granted by the beneficiary to the principal, the bank's obligations under this guarantee shall remain unchanged and in full effect."""
The Purchaser shall have the fullest liberty without affecting this guarantee to postpone from time to time the exercise of any powers vested in them or of any right which they might have against the Contractor and to exercise the same at any time in any manner and either to enforce o r to forbear to enforce any cov enants contained or implied in the Contract betw een the Purchaser and the Contractor or any other course or remedy or security available to the Purchaser  The Bank shall not be released of its obligation under these presents by any exercise by the Purchaser of its liberty with reference to the matters aforesaid or any of them or by reason of any other act or forbearance of other acts of omission or commission on part of the Purchasers or any other indulgence shown by the Purchaser or by any other matter or thing whatsoever which under law would but fo r this provision have the effect of relieving the Bank,Waiver,,"A Waiver clause in a bank guarantee context describes conditions under which the guarantor (the bank) remains obligated under the guarantee despite any potential waivers, indulgences, forbearances, or non-enforcement actions by the beneficiary (in this case, the Purchaser) with respect to the underlying contract with the third party (the Contractor). This type of clause ensures that certain actions or inactions by the Purchaser do not inadvertently release the guarantor from their obligations."
The Bank also agrees that the Purchaser at its option shall be entitled to enfor ce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contract or and notwithstanding any security or other guarantee the Purchaser may have in relation to the Contractors liabilities,Enforceability,,"The enforceability clause in a bank guarantee specifies that the beneficiary (in this case, the Purchaser) has the right to claim the guarantee directly from the guarantor (the Bank), without first needing to seek recourse from any other party (the Contractor) or exhausting other securities or guarantees that may be available. This type of clause establishes the guarantor as primarily liable, ensuring that the beneficiary can enforce the guarantee directly and immediately, simplifying and expediting the process of claiming under the guarantee."
i Our liability under this Bank Guarantee shall not exceed Rs,Limitation of Liability,,"This clause specifies the maximum amount for which the guarantor (bank) is liable under the guarantee. It limits the bank's financial obligation to a predetermined amount, hence protecting it from demands exceeding this limit."
ii This Bank Guarantee shall be valid up to and including,Expiry,"The Expiry clause in a bank guarantee specifies the date until which the guarantee will remain effective. After this date, the guarantee ceases to hold validity, meaning the beneficiary must make any claims or demands under the guarantee before the expiry date.","""This Bank Guarantee shall be valid and enforceable until the 31st day of December 2024, after which it will become null and void."""
iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if Purchaser serve upon Bank a written claim or demand on or before,Expiry,,"The expiry clause in a bank guarantee establishes a specific date or condition by which the guarantee ceases to be valid. This clause ensures that the beneficiary must make any claims for payment within this stipulated period, after which the bank's obligation under the guarantee ends."
By Foreign Supplier  BANK GUARANTEE FORMAT FOR REEXPORT OF REJECTED EQUIPMENT FOR REPAIRS  REPLACEMENT,Subject/Purpose of Guarantee,,"This type of clause specifies the primary purpose or the specific conditions under which the bank guarantee is issued. It delineates the reason why the guarantee is being provided, which in this case pertains to the re-export of rejected equipment for repairs or replacement. This helps in setting the scope and the circumstances under which the obligations outlined in the guarantee will come into effect."
The President of India Acting through the Director Purchase  Stores Department of Atomic Energy  Vikram Sarabhai Bhavan Anushaktinagar  Mumbai 400094,Beneficiary,This clause identifies the entity or person in whose favor the bank guarantee has been issued. It specifies who is entitled to invoke the bank guarantee and make a claim under it.,"""The Beneficiary of this Bank Guarantee is XYZ Corporation, located at 123 Business Rd., Commerce City, State, Postal Code."""
Whereas on or about the day of  200  Ms  a company having incorporated their office at hereinafte r referred to as the contractor entered into an agreement bearing No ,Recital Clause,,"A Recital Clause introduces and provides the context or background to the agreement or document. It typically outlines the parties involved, their intentions, and the fundamentals of the relationship or transaction that has led to the issuance of the document, such as a bank guarantee. Recitals are preliminary statements that explain the basics of the contract but are generally not intended to be enforceable as operative clauses."
dt hereinafter referred to as the contract with th e President of India acting through the Director Purchase  Stores Directorate of Purchase  Stores Department of Atomic Energy Government of India Mumbai Hereinafter referred to as the Government for manufacture and s upply of  Nos of hereinafter referred to as the instrument at a cost of   in words,Definition and Parties,,"This type of clause defines key terms, parties, and their roles within the agreement. They are crucial for clarifying the signatories' identities and the terms used throughout the document to avoid ambiguities and ensure all parties have a clear understanding of their obligations and rights."
Whereas as per the terms and conditions of the contract th e contractor had delivered to the consignee all the ,Preamble,,"The preamble in a bank guarantee or contractual document sets the context or background of the agreement. It outlines the underlying agreement, the parties involved, and sometimes the purpose of the bank guarantee. This is crucial as it links the guarantee to the underlying contract and explains the reasons for the issuance of the guarantee."
Nos of instruments out of which  Nos of the instrument costing in words was found defective and not working satisfactorily after its receipt by the consignee and therefore the instrument received from the contractor was rejected by the Government,Claim Period,,"The Claim Period clause in a bank guarantee specifies the timeframe within which a claim on the guarantee must be submitted by the beneficiary after identifying a breach of contract or other triggering event. This clause is crucial as it limits the duration during which the issuer of the guarantee (usually a bank) is at risk of having to pay the guarantee amount. It defines the period for enforcement and protects both the guarantor and the beneficiary by ensuring that claims are made in a timely manner, corresponding to the terms and delivery requirements of the underlying contract."
Whereas as per the terms and conditions of the contract the contr actor has agreed to either repair or replace the instrument as is deemed fit free of cost to the purchaser within a pe riod of months from the date of receipt of the rejected instrument by the contractor under the warranty conditions of the contract,Warranty,,"A warranty clause in a bank guarantee or contract outlines the assurances provided by one party (typically the seller or contractor) to another (typically the buyer or project owner) regarding the quality, condition, or performance of goods or services provided under the contract. It specifies what the contractor is liable to do if the product or service fails to meet specified standards, which could include repair, replacement, or other corrective actions without additional cost to the purchaser."
Whereas as per the Government policy the contractor was required to furnish a Bank Guarantee for full value of the defective instruments amounting to  in words as a safeguard to the government on account of any damageloss that may be caused or suffered by the government due to the contractors inabilityfailure to return the instrument duly repaired or supply a new instrument in repl acement of the defective instrume nt within the specified time and also when the instruments lie under the contractors custody control or possession,Performance Guarantee,,"A Performance Guarantee is a type of bank guarantee issued by a bank on behalf of a contractor to a project owner (in most cases the government or a private entity) that ensures the contractor fulfills their obligations under the terms of the contract. Should the contractor fail to meet the contractual requirements, such as completing a project on time, delivering goods, or providing services as agreed, the beneficiary (project owner) can claim compensation up to the amount covered by the guarantee."
Whereas the contractor based on the governments requirement h as agreed to furnish such a Bank Guarantee as a safeguard to the government interest as indicated in para 4 above valid  till the return of the repaired instruments or a replacement thereof to the government,Expiry Clause,,An expiry clause in a bank guarantee defines the conditions under which the guarantee will cease to be valid. This usually involves specifying a date or event upon the occurrence of which the bank's obligation under the guarantee comes to an end.
Whereas we  the Bank in consideration the gove rnment having agreed to despatch the defective instrument to the contractors works on freight to pay basis a nd 9ontractor having agreed to repair and return the defective instrument duly repaired or arrange free replacement of th e defective instrument on freight paidCIF  basis do hereby agree and undertake to indemnify the government and k eep the government indemnified to the extent of a sum not exceeding  in words against any loss or damage that ma y be caused or suffered by the government by reason of the contractor either no returning the repaired instrument or  arrange free replacement within a specified time and also when the instrument lie under the custody control or possession of the contractor,Indemnity,,"An indemnity clause is designed to allocate risk among the parties involved, generally protecting one party from financial loss or damage caused by another party. It serves to compensate the insured party (in this case, the government) for any losses or damages specified under the terms of the agreement that arise due to the actions or failures of the indemnifying party (the contractor)."
We  the Bank do hereby undertake to pay to the Dir ector Purchase  Stores Department of Atomic Energy Government of India the amount due and payable under this  guarantee without any demur merely on a demand from the Director Purchase  Stores Department of Atomic Energy on behalf of the government stating that the amount claimed is due by way of loss or damage caused to or would be caused to  or suffered by the Government by reason of the contractor either not returning the instrument duly repaired or a rrange free replacement to the government and also when the instrument lie under the custody control or possession of cont ractor Any such demand on the Bank shall be conclusive as regards the amount due and payable by the bank under this gua rantee However our liability under this guarantee shall be restricted to an amount not exceeding   in words,Demand,,"A Demand clause in a bank guarantee specifies the conditions under which the guarantor (the bank) is obliged to make a payment to the beneficiary (in this case, the Director Purchase & Stores Department of Atomic Energy, Government of India). The clause outlines that payment must be made upon receiving a demand stating the specified conditions have been met, such as non-performance or losses by the contractor. This type of clause essentially makes the guarantee callable on demand without needing to prove actual damages or fault, making the process of claiming under the guarantee straightforward for the beneficiary."
We undertake to pay to the Government any money so dema nded notwithstanding any dispute or disputes raised by the contractors or by agents in any suit or proceeding pending be fore any court or tribunal re lating thereto our liability under this present being absolute and unequivocal,Irrevocability,"An irrevocability clause in a bank guarantee means that the guarantor (the bank) commits to making payment under the terms of the guarantee without any conditions or exceptions, even if there are disputes or other proceedings involving the beneficiary and the applicant. This highlights the autonomous nature of the bank guarantee, making the commitment by the bank absolute and not dependent on the underlying transaction or disputes related thereto.","""The bank hereby irrevocably and unconditionally guarantees to pay the beneficiary upon their first demand without any right of objection or contestation from any party, including the applicant, notwithstanding any contestation or dispute that may arise in any other proceeding or context."""
The payment so made by us under this bond shall be a valid  discharge of our liability for payment thereunder and the contractors and the agents shall have no cl aim against us for making such payment,Discharge of Liability,,"A discharge of liability clause in a bank guarantee specifies that once the guarantor (the bank) has made the payment under the terms of the guarantee, its obligation is fully satisfied. This means the guarantor is no longer liable for any further claims or financial requirements related to the guarantee, protecting the bank from any subsequent legal action by either the beneficiary or the principal (the contractor) regarding the payment made under the guarantee."
And we  the Bank hereby further agree that the deci sion of the said Director Purchase  Stores as to whether the contractor has committed breach of any such terms and c onditions of the contract or not and as to the amount of damage or loss assessed by the said Director Purchase  Stores on account of such breach would be final and binding on us,Binding Decision,,"A ""Binding Decision"" clause in a bank guarantee specifies that the guarantor (the bank) agrees to accept the decision of a designated third party (often a client or an expert) as final and binding in matters concerning the execution of the contract or the assessment of damages resulting from breaches of contract. This type of clause is used to streamline dispute resolution and enforce the decisions without recourse to lengthy legal procedures."
We  the Bank further agree with the Government that  the Government shall have the fullest liberty without our consent and without affecting in any manner our obligations hereunder to vary any of the terms and conditions of the said agreement or to extend time for performance by the said c ontractor from time to time or to postpone for any time or from time to time any of the powers exercisable by the Governme nt against the said contractors and to forbear or enforce any of the terms and conditions relating to the said agreement and we shall not be relieved from our liability by reason of any such variation or extension being gr anted to the said contractors or for an y forbearance act or commission on the part of the Government or any indulgence by the Government to the said contractors or by any such matter or thing whatsoever which under the law relating to sureties would but for this provision have effect of so relieving us,Waiver of Defense,,"This type of clause stipulates that the guarantor waives the right to assert defenses based on changes to the underlying contract, extensions, or forbearances that could otherwise reduce or eliminate their liability. It ensures that the guarantor remains liable under the guarantee despite any modifications or leniency shown by the beneficiary to the principal party in the underlying agreement."
This guarantee will not be discharged due to the change in th e constitution of the bank the contractors or the agents,Continuity,,"The Continuity Clause in a bank guarantee ensures that the obligations, rights, and duties outlined in the guarantee remain unchanged and continuous even if there are alterations in the structure or constitution of the parties involved, such as the bank, beneficiary, or principal."
Our guarantee shall remain in force un til  and unless a claim under the guara ntee is lodged with us within three months from that date all rights of the government under the guarantee shall be forfeited and we shall be relieved and discharged from all liabilities thereunder,Claim Period,,"The Claim Period clause in a bank guarantee specifies the timeframe within which a valid claim can be made under the guarantee. If no claim is made within this period, the guarantee will lapse, and the guarantor's liability will be extinguished. This type of clause is crucial because it provides a clear deadline for the beneficiary to assert any rights under the guarantee, after which the guarantor is no longer obligated."
Annexu reIV Format of Bank Guarantee for Performance Security  Bank Guarantee No                       Dated   To  Dedicated Freight Corridor Corporation of India Limited First Floor D 89 Sector 2 Noida  Reference  Contract No   awarded on   This deed of Guarantee made this day of   between   name of bank having registered office at    and branch office at      hereinafter referred to as Bank of the one part and Dedicated Freight Corridor Corporation of India Limited  Noida hereinafter called the DFCCIL  of the other part,Performance Security,,"A Performance Security clause in a contract involves a financial guarantee provided by a third party (a bank in this case), which ensures that the contractual obligations related to performance are met by the party providing the security. This guarantee acts as a safety net for the beneficiary (in this case, DFCCIL) that they will receive a set amount of compensation if the party issuing the bank guarantee fails to fulfill their contractual performance obligations."
Whereas Dedicated Freight Corridor Corporation of India Limited Noida has awarded the contract No  for Engagement of Manpower Services Provider Agency for providing various categories of outsourced staff for Chief Project ManagerDFCCIL Noida Unit ,Preamble/Recital Clause,,"The preamble or recital clause in a bank guarantee or any legal document provides the background information or the context for the agreement. It outlines the purpose, scope, and parties involved in the agreement, setting the stage for the operative parts of the document."
Hereinafter  called the Contract To Ms    its registered office at   hereinafter called the Contractor,Definition Clause,,"A definition clause in a contract or a bank guarantee is used to clearly define the terms, parties, or key concepts used throughout the document. This provides clarity and reference and avoids ambiguity in the interpretation of terms, ensuring all parties have a mutual understanding of the definitions applied in the contract or guarantee."
Whereas the contractor is bound by the said Co ntract to submit to the  DFCCIL  an irrevocable performance security guarantee bond for a total amount of Rs   Rs in words,Performance Security,,"A Performance Security clause refers to the obligation placed on a contractor to provide a financial guarantee to the client, ensuring the fulfillment of all contractual obligations and performance standards outlined in the agreement. This security serves as financial protection for the client against risks of non-compliance or poor performance by the contractor."
Now we the undersigned Name of Bank official of the bank being fully authorized to sign and to incur obligations for and on behalf o f the B ank hereby declare that the said Bank will guarantee the DFCCIL  the full amount of Rs   Rs in words as stated above,Guarantee Commitment,,"A Guarantee Commitment clause is a crucial element in a bank guarantee, where the issuing bank explicitly commits to covering a specified amount of money on behalf of the applicant. This commitment is towards ensuring the fulfillment of the financial obligations stipulated under the terms of a contract to which the guarantee pertains. Essentially, this clause outlines the principal responsibility of the bank which is to pay a certain sum if the applicant fails to meet contractual obligations."
After the Contractor has signed the afor esaid contract with the DFCCIL  the Bank further agree and promise to pay the amount due and payable under this guarantee without any demure mere ly on a demand from the DFCCIL  stating that the amount claimed is due by way of loss or damage cause to or woul d be caused or suffered by the DFCCIL  by reason of any breach by th e said contractor of any of the terms or conditions contained in the said agreement or by reason of the contractor failure to perform the said agreement Any such demand made on the Bank shall be conclusive as regards the amount due and payable by the Bank  under this guarantee However our liability under this guarantee shall be restricted to an amount not exceeding Rs    in words only,Demand Clause,,"A demand clause in a bank guarantee stipulates that the guarantor (the bank in this case) must pay the beneficiary (DFCCIL) upon receiving a formal demand. This demand simply needs to state that the contractor caused a loss or failed to meet certain contractual conditions. The demand clause makes it clear that such a request for payment is conclusive proof of the bank's obligation to pay, limiting debate or need for further proof."
We   indicate the name of Bank  further undertake to pay to the DFCCIL  any money so demanded notwithstanding any dispute or dispute raised by the contractor in any suit or proceeding pending before any court or Tribunal relating to liability under this present being absolute and unequivocal,Demand,"A demand clause in a bank guarantee details the conditions under which the beneficiary (e.g., DFCCIL in your clause) can demand payment from the guaranteeing bank (the ""name of Bank"" in your clause). This type of clause typically labels the guarantee as being payable on demand, specifying that payment must be made by the guarantor upon the beneficiary's first demand, without any necessity for the beneficiary to prove actual damages or provide evidence of a breach by the underlying party (the contractor in your clause).","""The guarantor bank hereby irrevocably undertakes to pay the beneficiary any sums up to a maximum of [specified amount] immediately upon receiving a written demand from the beneficiary stating"
The payment so made by us name of Bank  under this bond shall be a valid discharge of our liability for payment there under and the Contractor shall have no claim against us for making such payment,Discharge of Liability,,"This type of clause specifies that once a certain action, typically a payment, is fulfilled by the guarantor (here, the bank), it releases the guarantor from any further liability regarding the specific commitment covered by the guarantee. It essentially clarifies that fulfilling the guarantee obligation properly extinguishes the guarantor's responsibility under the guarantee."
We   indicate the name of bank to further agree that the guara ntee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said agreement and that it shall continue to be enforceable t ill all the dues of the DFCCIL  under or by virtue of the said agreemen t have been fully paid and its claims satisfied or discharged by   Designation  address of contract signing authority on behalf of DFCCIL  certify that the terms and conditions of the said agreement have been fully and properly carr ied out by the said contractor and accordingly discharges this guarantee,Validity and Expiration,,The validity and expiration clause in a bank guarantee specifies the time frame during which the guarantee remains in effect. This includes both the duration tied to the underlying contract performance and any additional period until obligations are fulfilled or officially discharged.
Notwithstanding anything to the contrary contained herein the liability of the bank under this guarantee will remain in force and effect until such time as this guarantee is disch arged in writing by the DFCCIL  or until date of validityextended validity whichever is earlier and no claim shall be valid under the guarantee unless notice in writing thereof is given by the DFCCIL within validityextended validity period of guarantee from the date of aforesaid,Expiry and Claim Period,,"This clause type specifies the conditions under which the bank guarantee will remain valid and enforceable, including the final date or event after which the guarantee will expire. It also delineates the timeframe within which a claim must be made to be considered valid."
Provided always that we  name of bank unconditionally undertakes to renew this guarantee or to extend the period of guarantee form year to year before the expiry of the period or the extended period of guarantee as th e case may be on being call ed upon to do so by the DFCCIL  If the guarantee is not renewed or the period extended on demand we ,Renewal/Extension,,"This clause pertains to the conditions under which a bank guarantee must be renewed or extended. It specifies the obligations of the guarantor (the bank) to continue its guarantee beyond the original term, upon request by the beneficiary. This ensures that the coverage of the guarantee remains in effect for a longer period if necessary, as determined by the beneficiary's needs."
name of bank shall pay the  DFCCIL  the full amount of the guarantee on demand without demur,Demand Clause,,"A demand clause in a bank guarantee specifies that the issuing bank agrees to pay the beneficiary the full amount specified in the guarantee upon their first request or demand, without any objection, delay, or requirement to prove loss or damage. This type of clause ensures prompt and assured payment, reflecting the unconditional nature of the guarantee."
We  indicate the name of Bank to  further agree with the DFCCIL that the DFCCIL  shall have the fullest liberty without our consent and without effecting in any manner out of obligation hereunder to vary any of the terms and conditions of the said contract from time to tim e or to postpone for any time or from time to time any to p ower exercisable by the DFCCIL  against the said contractor and to forbear or enforce any of the terms and conditions of the said agreement and we shall not be relieved from our liabilities by reaso n of such variation or extension being granted to the said contractor for any bearance act or omis sion on the part of the DFCCIL  or any indulgence by th e DFCCIL  to the said contractor or by any such matter or thing whatsoever which under the law  relating to sureties for the said reservation would relieve us from the liability,Amendment and Waiver,,"The ""Amendment and Waiver"" clause in a bank guarantee outlines that the alterations or waivers related to the contracting conditions by the beneficiary (in this case, DFCCIL) do not require the consent of the guarantor (the bank), and such modifications or waivers do not relieve the guarantor of its obligations under the guarantee. This clause ensures that the guarantor remains liable despite any changes to the contract, extensions of time, or any forbearance actions taken by the beneficiary."
The Guarantee hereinbefore contained shall not be affected by any change in the constitution of Bank or of the Contractor,Change in Circumstances,,"This type of clause stipulates that the guarantee provided will remain in effect and unchanged regardless of any alterations in the legal or organizational structure of the entities involved, namely the bank or the contractor. It ensures continuity and validity of the guarantee irrespective of such changes, which might include mergers, acquisitions, or any restructuring."
The expressions the DFCCIL  the Bank and the Contrac tor hereinbefore used shall include their respective successors and assigns,Definitions and Successions,,This type of clause specifies how certain terms or expressions in the contract are defined and how they apply to successor organizations or individuals and their assigns. It ensures continuity and clarity in interpreting the contract terms despite changes in the entities' ownership or structure involved in the agreement.
We  name of the bank lastly undertake not to revoke this guarantee during its currency except with the previous consent of the DFCCIL  in writing,Irrevocability,,"An irrevocability clause in a bank guarantee ensures that the guarantee cannot be canceled or altered unilaterally by the issuing bank during the period it is in effect, without prior written consent from the beneficiary. This clause provides security and certainty to the beneficiary that the support or coverage provided by the guarantee will remain effective and enforceable for the duration of its validity."
Notwithstanding anyth ing to the contrary contained hereinbefore   i Our liability under this Bank Guarantee shall not exceed and restricted to Rs,Limitation of Liability,,"This clause type specifies the maximum amount for which the guarantor (in this case, the bank) is liable under the terms of the bank guarantee. It defines and caps the financial exposure and obligation of the guarantor, ensuring that the guarantor is not required to pay more than the stipulated maximum limit."
ii This Bank Guarantee shall be valid up to  unles s extended on demand by DFCCIL ,Expiry,,"The Expiry clause in a bank guarantee specifies the validity period of the guarantee, indicating until when the guarantee can be considered active or enforceable. It sets a clear deadline by which any claims against the guarantee must be made, after which the guarantee will no longer be in effect, unless an extension is agreed upon."
iii The Bank is liable to pay the guaranteed amount or any part thereof under this  Bank Guarantee only if DFCCIL  serve a written claim or demand on or before   IN WITNESS WHEREOF we of the Bank have signed and stamped this guarantee on this day of  being herewith d uly authorized,Expiry,,"An expiry clause in a bank guarantee outlines the precise date or conditions under which the guarantee will cease to be effective. This ensures that the obligation of the bank is time-bound, and it provides a clear cutoff after which the beneficiary cannot make a claim under the guarantee."
Request for Proposal Digitization of  Cadastral Maps  Digital India Land Records Modernization Programme Uttarakhand ,Project Description,,"A Project Description clause in a bank guarantee or contractual document outlines the scope, objective, or summary of the project which the guarantee or contract covers. Typically, it details the work, services, or products involved, providing context and specificity to the agreement, ensuring that all parties have a clear understanding of the project deliverables."
Project Management Unit  DILR MP  Uttarakhand  248008   51 Annexure8 Format for Bank Guarantee  On Rs100 Stamp Paper Name of the Bank with Address To Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  248001 Dear Sir Guarantee No     Bank Guarantee Reference Number Amount of Guarantee   Rs Amount in Figures Guarantee cover   From  From Date to To Date Both dates inclusive This deed of guarantee executed by the having its Head Office at Head office place and amongst other places a branch at Branch Name hereinafter  referred to as the Bank which expression shall include its successors and assignees so as,Expiry,,"The Expiry clause in a bank guarantee specifies the date until which the guarantee will remain valid. It defines the period during which the beneficiary of the guarantee can invoke it. After this date, the guarantee becomes void and cannot be claimed against."
to bind ou rselves our successors and assignees in favor of  Commissioner cum Secretary Board of Revenue Uttara khand Dehradun  hereinafter referred to as the Beneficiary for an amount not exceeding Rs Rupees Amount in words at the request of Name of the Bidder hereinafter referred to as the Bidder,Coverage or Scope of Guarantee,,"This clause defines the extent of the financial responsibility or liability that the guarantor undertakes in relation to the beneficiary. It specifies who is bound by the guarantee, the amount up to which the guarantor is liable, and who benefits from the guarantee."
NOW THEREFORE the Bank hereby unconditionally and irrevocably guarantee s and affirms as follows 1  The Bank hereby unconditionally and irrevocably guarantees the due and faithful performance of the Bidders obligation during the project under and in accordance with the bid document and agrees and undertakes to pay to The Beneficiary upon its mere written demand from time to time and without any demur reservation recourse contest or protest and without any reference to the Bidder such sum or sums up to an aggregate sum of the Bid Guarantee amount as the Beneficiar y shall claim without the Beneficiary being required to prove or to show grounds or reasons for its demand andor for the sum specified therein,Performance Guarantee,,"A performance guarantee clause in a bank guarantee is a commitment by the bank to ensure the compliance of the party (typically the contractor or the bidder) with the terms, conditions, and schedules outlined in a contract. This type of guarantee serves as a financial assurance that compensates the beneficiary (project owner or client) if the party does not fulfill its contractual obligations. The bank guarantees payment upon the beneficiary’s demand without demur and does not require the beneficiary to provide proof or justification for the claim against the guarantee."
2  This guarantee is issued subject to the conditi on that the liability of the bank under this bank guarantee is limited to a maximum of Rupees Amount in words and the guarantee shall remain in full force up to To Date and can no t to be invoked otherwise than by a written demand claim under this guarantee served on the bank on or before To Date,Limitation of Liability and Expiry,,"This type of clause defines the maximum financial liability of the bank under the guarantee and specifies the validity period of the guarantee, including a cut-off date by which any claims under the guarantee must be made. It limits the risk exposure of the guarantor and provides a clear timeline for enforcement."
3  BG for RsAmount in Figures in favor of   Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  Whereas Name of the Bidder has submitted its bid dated Bid Date for Name of the work as per tender as per tender datedTender date KNOW ALL MEN by these Presents that WE Name of the Bank Branch Name of the Branch our registered office at Registered Office Address are bound up to  Chairman Revenue Board  State  herein after called The Beneficiary in the sum of Rs Amount in words for which paym ent will and truly to be made to the said Beneficiary the Bank binds itself its successors  and assigns by these presents,Performance Guarantee,,"A performance guarantee is a type of bank guarantee where the bank assures to cover a certain amount of monetary penalty or fulfill certain obligations in case the party (generally the contractor or bidder) fails to meet the terms of the agreement. This guarantee acts as a financial safety net for the beneficiary, ensuring compensation if the agreed performance standards or conditions are not met by the party whose performance is guaranteed."
