Paragraph,Classification,Explanation
The payment so made by us under this bond shall be a valid  discharge of our liability for payment thereunder and the contractors and the agents shall have no cl aim against us for making such payment,Neutral,"This clause standardly absolves the bank from further liability after payment under the guarantee, preventing double recovery by contractors or agents, typical in bank guarantee agreements."
And we  the Bank hereby further agree that the deci sion of the said Director Purchase  Stores as to whether the contractor has committed breach of any such terms and c onditions of the contract or not and as to the amount of damage or loss assessed by the said Director Purchase  Stores on account of such breach would be final and binding on us,Onerous,"This clause gives unilateral power to the Director Purchase Stores to determine breach and assess damages, binding the bank without opportunity for dispute or independent review, increasing the bank's potential liability unreasonably."
We  the Bank further agree with the Government that  the Government shall have the fullest liberty without our consent and without affecting in any manner our obligations hereunder to vary any of the terms and conditions of the said agreement or to extend time for performance by the said c ontractor from time to time or to postpone for any time or from time to time any of the powers exercisable by the Governme nt against the said contractors and to forbear or enforce any of the terms and conditions relating to the said agreement and we shall not be relieved from our liability by reason of any such variation or extension being gr anted to the said contractors or for an y forbearance act or commission on the part of the Government or any indulgence by the Government to the said contractors or by any such matter or thing whatsoever which under the law relating to sureties would but for this provision have effect of so relieving us,Onerous,"The clause removes the bank's right to consent to changes, imposing liability regardless of variations, extensions, or government forbearance, significantly increasing the bank's risk."
This guarantee will not be discharged due to the change in th e constitution of the bank the contractors or the agents,Neutral,"The clause merely ensures continuity of the guarantee despite changes in bank or contractor structure, not imposing additional burdens or reducing rights."
Our guarantee shall remain in force un til  and unless a claim under the guara ntee is lodged with us within three months from that date all rights of the government under the guarantee shall be forfeited and we shall be relieved and discharged from all liabilities thereunder,Onerous,"This clause imposes a strict time limit for claims, leading to a forfeiture of rights if not met, significantly limiting the beneficiary's ability to make legitimate claims."
Annexu reIV Format of Bank Guarantee for Performance Security  Bank Guarantee No                       Dated   To  Dedicated Freight Corridor Corporation of India Limited First Floor D 89 Sector 2 Noida  Reference  Contract No   awarded on   This deed of Guarantee made this day of   between   name of bank having registered office at    and branch office at      hereinafter referred to as Bank of the one part and Dedicated Freight Corridor Corporation of India Limited  Noida hereinafter called the DFCCIL  of the other part,Neutral,"This clause is a standard introductory format specifying the parties and structure of the guarantee, without imposing burdensome conditions on either party."
Whereas Dedicated Freight Corridor Corporation of India Limited Noida has awarded the contract No  for Engagement of Manpower Services Provider Agency for providing various categories of outsourced staff for Chief Project ManagerDFCCIL Noida Unit ,Neutral,"The clause merely states the purpose and context of the guarantee, specifying the contractual agreement details without imposing additional or restrictive terms on the parties involved."
Hereinafter  called the Contract To Ms    its registered office at   hereinafter called the Contractor,Neutral,"The clause merely defines terms and identifies parties involved in the contract, without imposing any duties, risks, or obligations."
Whereas the contractor is bound by the said Co ntract to submit to the  DFCCIL  an irrevocable performance security guarantee bond for a total amount of Rs   Rs in words,Neutral,"This clause standardly requires a contractor to provide a performance security guarantee, typical in contracts to ensure completion of obligations, not imposing excessive or unfairly burdensome conditions."
Now we the undersigned Name of Bank official of the bank being fully authorized to sign and to incur obligations for and on behalf o f the B ank hereby declare that the said Bank will guarantee the DFCCIL  the full amount of Rs   Rs in words as stated above,Neutral,"This clause is a standard declaration by a bank to guarantee a specified amount, indicating commitment without introducing additional burdensome terms or conditions. It reflects a typical guarantee responsibility."
After the Contractor has signed the afor esaid contract with the DFCCIL  the Bank further agree and promise to pay the amount due and payable under this guarantee without any demure mere ly on a demand from the DFCCIL  stating that the amount claimed is due by way of loss or damage cause to or woul d be caused or suffered by the DFCCIL  by reason of any breach by th e said contractor of any of the terms or conditions contained in the said agreement or by reason of the contractor failure to perform the said agreement Any such demand made on the Bank shall be conclusive as regards the amount due and payable by the Bank  under this guarantee However our liability under this guarantee shall be restricted to an amount not exceeding Rs    in words only,Onerous,"This clause mandates the bank to pay on mere demand, considering any demand as conclusive proof of amount due, heavily favoring DFCCIL regardless of disputes or contractor's counterclaims."
We   indicate the name of Bank  further undertake to pay to the DFCCIL  any money so demanded notwithstanding any dispute or dispute raised by the contractor in any suit or proceeding pending before any court or Tribunal relating to liability under this present being absolute and unequivocal,Onerous,"The clause mandates payment regardless of disputes or proceedings, placing significant unconditional financial obligation on the guarantor without recourse to contest or delay."
The payment so made by us name of Bank  under this bond shall be a valid discharge of our liability for payment there under and the Contractor shall have no claim against us for making such payment,Neutral,"This clause specifies that the bank's payment absolves it from further claims by the contractor, standard in guaranteeing payment and limiting liability after payment is made."
We   indicate the name of bank to further agree that the guara ntee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said agreement and that it shall continue to be enforceable t ill all the dues of the DFCCIL  under or by virtue of the said agreemen t have been fully paid and its claims satisfied or discharged by   Designation  address of contract signing authority on behalf of DFCCIL  certify that the terms and conditions of the said agreement have been fully and properly carr ied out by the said contractor and accordingly discharges this guarantee,Onerous,"The clause extends the guarantee’s validity until all obligations are confirmed fulfilled by a specific authority, increasing the guarantor's risk and liability duration."
Notwithstanding anything to the contrary contained herein the liability of the bank under this guarantee will remain in force and effect until such time as this guarantee is disch arged in writing by the DFCCIL  or until date of validityextended validity whichever is earlier and no claim shall be valid under the guarantee unless notice in writing thereof is given by the DFCCIL within validityextended validity period of guarantee from the date of aforesaid,Onerous,"This clause extends the bank's liability until a written discharge is provided by the DFCCIL or the validity/expiry date reaches, requiring proactive cancellation and limiting the bank's control over termination."
Provided always that we  name of bank unconditionally undertakes to renew this guarantee or to extend the period of guarantee form year to year before the expiry of the period or the extended period of guarantee as th e case may be on being call ed upon to do so by the DFCCIL  If the guarantee is not renewed or the period extended on demand we ,Onerous,"Requires the bank to automatically renew or extend the guarantee at the beneficiary's demand without any discretion, creating potentially indefinite liability for the bank."
name of bank shall pay the  DFCCIL  the full amount of the guarantee on demand without demur,Onerous,"The clause allows immediate payment on demand without objection, placing substantial obligation on the bank to pay unconditionally and immediately, increasing its financial risk."
We  indicate the name of Bank to  further agree with the DFCCIL that the DFCCIL  shall have the fullest liberty without our consent and without effecting in any manner out of obligation hereunder to vary any of the terms and conditions of the said contract from time to tim e or to postpone for any time or from time to time any to p ower exercisable by the DFCCIL  against the said contractor and to forbear or enforce any of the terms and conditions of the said agreement and we shall not be relieved from our liabilities by reaso n of such variation or extension being granted to the said contractor for any bearance act or omis sion on the part of the DFCCIL  or any indulgence by th e DFCCIL  to the said contractor or by any such matter or thing whatsoever which under the law  relating to sureties for the said reservation would relieve us from the liability,Onerous,"The clause allows DFCCIL to modify contract terms or postpone obligations without the bank's consent, yet still holds the bank fully liable, increasing the bank's risk disproportionately."
The Guarantee hereinbefore contained shall not be affected by any change in the constitution of Bank or of the Contractor,Neutral,"This clause ensures continuity of the guarantee despite organizational changes in the bank or contractor, maintaining the original terms and conditions without imposing additional duties or risks on either party."
The expressions the DFCCIL  the Bank and the Contrac tor hereinbefore used shall include their respective successors and assigns,Neutral,"This clause standardly extends the agreement's obligations and rights to legal successors and assigns, not imposing additional burdens but maintaining continuity regardless of changes in party ownership or structure."
We  name of the bank lastly undertake not to revoke this guarantee during its currency except with the previous consent of the DFCCIL  in writing,Neutral,"The clause standardly binds the bank from unilaterally revoking the guarantee, ensuring reliability and trust, contingent on written consent from DFCCIL, which is a common practice in guarantees."
Notwithstanding anyth ing to the contrary contained hereinbefore   i Our liability under this Bank Guarantee shall not exceed and restricted to Rs,Neutral,"This clause limits the bank's liability to a specified amount, providing clear financial boundaries and protecting the bank from excessive claims."
ii This Bank Guarantee shall be valid up to  unles s extended on demand by DFCCIL ,Onerous,"The clause places a burden on the guarantor to extend the guarantee on demand by DFCCIL, potentially leading to indefinite liability without predefined termination conditions."
iii The Bank is liable to pay the guaranteed amount or any part thereof under this  Bank Guarantee only if DFCCIL  serve a written claim or demand on or before   IN WITNESS WHEREOF we of the Bank have signed and stamped this guarantee on this day of  being herewith d uly authorized,Neutral,"This clause simply outlines the condition under which the Bank is liable to pay, making it a standard provision that protects the Bank from overdue claims."
Request for Proposal Digitization of  Cadastral Maps  Digital India Land Records Modernization Programme Uttarakhand ,Neutral,This clause outlines the scope of a project without specifying any burdensome terms or conditions that might be disadvantageous to any party involved.
Project Management Unit  DILR MP  Uttarakhand  248008   51 Annexure8 Format for Bank Guarantee  On Rs100 Stamp Paper Name of the Bank with Address To Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  248001 Dear Sir Guarantee No     Bank Guarantee Reference Number Amount of Guarantee   Rs Amount in Figures Guarantee cover   From  From Date to To Date Both dates inclusive This deed of guarantee executed by the having its Head Office at Head office place and amongst other places a branch at Branch Name hereinafter  referred to as the Bank which expression shall include its successors and assignees so as,Neutral,"This clause primarily details administrative information and standard identification elements, lacking specific terms that could create disproportionate obligations or risks."
to bind ou rselves our successors and assignees in favor of  Commissioner cum Secretary Board of Revenue Uttara khand Dehradun  hereinafter referred to as the Beneficiary for an amount not exceeding Rs Rupees Amount in words at the request of Name of the Bidder hereinafter referred to as the Bidder,Neutral,"This clause simply outlines the party obligations and the maximum liability, which are standard in guarantee agreements, without introducing excessive burdens or risks on the guarantor."
NOW THEREFORE the Bank hereby unconditionally and irrevocably guarantee s and affirms as follows 1  The Bank hereby unconditionally and irrevocably guarantees the due and faithful performance of the Bidders obligation during the project under and in accordance with the bid document and agrees and undertakes to pay to The Beneficiary upon its mere written demand from time to time and without any demur reservation recourse contest or protest and without any reference to the Bidder such sum or sums up to an aggregate sum of the Bid Guarantee amount as the Beneficiar y shall claim without the Beneficiary being required to prove or to show grounds or reasons for its demand andor for the sum specified therein,Onerous,"The clause imposes strict obligations on the bank to pay without objection, proof, or reference to the bidder, enhancing potential liability and risk for the bank."
2  This guarantee is issued subject to the conditi on that the liability of the bank under this bank guarantee is limited to a maximum of Rupees Amount in words and the guarantee shall remain in full force up to To Date and can no t to be invoked otherwise than by a written demand claim under this guarantee served on the bank on or before To Date,Neutral,"This clause simply specifies the limit of the bank's liability and the validity period of the guarantee, standard for such agreements, imposing no excessive burdens on any party."
3  BG for RsAmount in Figures in favor of   Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  Whereas Name of the Bidder has submitted its bid dated Bid Date for Name of the work as per tender as per tender datedTender date KNOW ALL MEN by these Presents that WE Name of the Bank Branch Name of the Branch our registered office at Registered Office Address are bound up to  Chairman Revenue Board  State  herein after called The Beneficiary in the sum of Rs Amount in words for which paym ent will and truly to be made to the said Beneficiary the Bank binds itself its successors  and assigns by these presents,Onerous,"This clause imposes a significant obligation on the bank, ensuring payment is made to the beneficiary, securing the bank's accountability via binding successors and assigns."
Request for Proposal Digitization of  Cadastral Maps  Digital India Land Records Modernization Programme Uttarakhand ,Neutral,This clause merely describes the project's scope and does not impose any burdensome or unfair terms on the parties involved.
Project Management Unit  DILR MP  Uttarakhand  248008   52 4  The Beneficiary shall have the liberty with out affecting in any manner the liability of the Bank under this Guarantee to vary at any time the terms and conditions of the Bid Document or to extend the time or period for the compliance with fulfillment and or performance of all or any of the obligations of  the Bidder contained in the Bid Document or to postpone for any time and from time to ti me any of the rights and powers exercisable by the Beneficiary against the Bidder and either to enforce or forbear from enforcing any of the terms and conditions contained in the Bid Document andor the securities available to the Beneficiary and the Bank shall not be released from its liability and obligation under these presents by any exercise by the Beneficiar y of the liberty with reference to the matters aforesaid or by reason of time being given to the Bidder or any other forbearance indulgence act or omission on the part of the Beneficiary or of any other matter or thing whatsoever which under any law relating to sureties and guarantors would but for this provision have the effect of releasing the Ba nk from its liability and obligation under this Guarantee and the Bank hereby waives all of its rights under any such law,Onerous,"The clause allows the Beneficiary substantial flexibility to modify the Bid Document terms or delay enforcement without impacting the Bank's obligations, increasing potential liability risks for the Bank."
5  In order to give effect to this Guarantee the Beneficiary shall be entitled to act as if the Bank were the principal debtor and any change in the constitution of the Bidder andor the Bank whether by their absorption with any other body  or corporation or otherwise shall not in any way or manner affect the liability or ob ligation of the Bank under this Guarantee,Onerous,"This clause prevents the Bank's obligations from being altered regardless of significant structural changes, thereby imposing stringent, unmodifiable responsibilities on the Bank regardless of potentially mitigating circumstances."
6  It shall not be necessary and the Bank here by waives any necessity for the Beneficiary to proceed against the Bidder before presenting to the Bank its demand under the Guarantee,Neutral,"This clause simplifies the process for the Beneficiary, removing the obligation to pursue the Bidder before making a claim on the Guarantee, thus not imposing additional burdens on the Bank."
7  A letter from the Beneficiary under the hand of the  Commissioner cum Secretary Board of Revenue Uttarakhand Dehradun  of the Beneficiary that the Bidder has committed default in the due and faithful performance of all or any of its obligations under and in accordance with the bid document shall be conclusive final and binding on the Bank The Bank further agrees that the Beneficiary shall be the sole judge as to whether the Bidder is in default in due and faithful performance of its obligations under the bid document and its decision that the Bidder is in default shall be final and binding on the Bank notwithstanding any differences between the Beneficiary and the Bidder or any dispute between them pending before any court tribunal arbitrators or any other Corporation or body or by the discharge of the Bidder for any reason whatsoever,Onerous,"The clause assigns sole judgment of default to the Beneficiary, binding the Bank regardless of disputes or differing opinions, potentially placing unfair burden on the Bank."
8  This Guarantee is in addition to an not in substitution of any Guarantee or Security now or which may hereafter be held by the Bidder in respect of or relating to the Agreement or for the fulfillment compliance andor performance of  all or any of the obligations of the Bidder under the Agreement,Onerous,"The clause intensifies the debtor's liability by adding this guarantee to any existing or future guarantees or securities, rather than replacing them, potentially increasing financial obligations."
9  We undertake to pay to the Commissioner cu m Secretary Board of Revenue Uttarakhand Dehradun up to the above amount upon receipt of its first written demand without the Beneficiary having to substantiate its demand,Onerous,"The clause obligates the bank to pay upon the first demand without requiring the beneficiary to substantiate the claim, increasing the bank's risk significantly."
10  This guarantee will remain in force as specif ied in Clause respective clause number in the tender of the Bid document and any demand in respect thereof should reach the Bank not later than date from the date of expiry of this Guarantee,Neutral,"The clause standardly specifies the validity and expiration protocol of the guarantee, aligning with typical contractual obligations without imposing excessive burdens on either party."
11  Notwithstanding anything contained herein the Banks liability under this Guarantee shall be restricted to Rs Amount in words and the Guarantee shall remain in force only up to date and unless a demand or claim in writing is made by the Beneficiary on the Bank on this Guarantee not later than date from the date  of expiry of this Guarantee all rights of the Beneficiary under this Guarantee shall be forfeited and the bank shall be discharged from all liabilities under this Guarantee,Neutral,"Limits the bank's liability to a specified amount and duration, standard in guarantee agreements, protecting both bank and beneficiary’s interests adequately."
Request for Proposal Digitization of  Cadastral Maps  Digital India Land Records Modernization Programme Uttarakhand ,Neutral,"This clause solely states the project's title and scope, lacking specific binding or challenging obligations, terms, or conditions that would classify it as onerous."
Project Management Unit  DILR MP  Uttarakhand  248008   53 12  The Bank undertakes not to revoke this Guarantee during its currency except with the previous express consent of the Beneficiary in wr iting and declares that it has the power to issue this Guarantee and the undersigned has full powers to do so on behalf of the Bank,Neutral,"The clause ensures the guarantee is irrevocable without the beneficiary’s written consent, which fairly balances the commitment between the bank and the beneficiary. Hence, it is standard and not excessively burdensome."
13  Any notice by way of request demand or otherwise hereunder may be sent by post addressed to Bank at its above referred branch which shall be deemed to have been duly authorized to receive such notice to effect paym ent thereof forthwith and if sent by post it shall be deemed to have given at the time when it ought to have been delivered in due course of post and in proving such notice when  given by post it shall be sufficient to prove that the envelope containing the notice was post ed and a certificate signed by an officer of the Bidder that the envelope wa s posted shall be conclusive,Onerous,"Shifts proof burden entirely to the sender, making a simple certificate of posting conclusive, potentially disadvantaging the other party irrespective of actual notice receipt."
14  The Bank does hereby declare that Mr  Name of banks the authorized person with employee code and designation is authorized to sign this Guarantee on behalf of the bank and to bind the bank thereby,Neutral,This clause simply designates the authorized signatory for the bank guarantee and does not impose any unfair or burdensome conditions on either party involved.
Signed and sealed this date in words day of Month in words Year in words atTime in figures IST,Neutral,"This clause merely specifies the formal requirement for the execution of the document, involving no substantial obligations or liabilities that could be considered onerous."
For Name of the Bank Signature in full Name Name of the person si gning on behalf of bank Phone Telephone Number Fax Fax Number email email address Address in Full Address of the branch in full      End,Neutral,This clause simply requires providing contact details and doesn't impose any burdensome obligations or liabilities on the parties involved.
AppendixB FORMAT OF BANK GUARANTEE TOWARDS PERFORMANCE SECURITY  To Ms Mineral Exploration Corporation Limited Dr Babasaheb Ambedkar Bhavan Seminary Hills NAGPUR440 006 Maharashtra Bank Guarantee No  Guarantee Amount INR    Guara ntee cover from to  Last date of lodgment of claim  Whereas Mineral Exploration Corporation Limited with registere d office at Dr Babasaheb Ambedkar Bhavan Seminary Hills Nagpur herein after referred to as the Company has given a contract vide work order No Dated against the Open Bid No    to Ms Name of Contract with full address  herein after referred to as   the Contractor  f o r,Neutral,"This clause simply outlines the formal structure and introductory details for a bank guarantee, without imposing demanding conditions on the guarantor or beneficiary."
Description of  Work  Whereas one of the condition of the contract that the contractor shall either remit a sum of Rupe es only as Security Deposit or submit a Ba nk Guarantee from any Nationaliz edRBI approved scheduled Indian Bank for the said sum for the due fulfillment of the sai d work order by the Contractor,Neutral,"The clause is standard, providing a choice between cash deposit or a bank guarantee, ensuring contract fulfillment without imposing excessive burden."
In consideration of the Company having agreed to accept a Bank Guarantee from us towards such Security Deposit in lieu of cash deposit in accordance wit h the terms and conditions of the above contract We Name of Bank and full address herein after referred to as the Bank do hereby undertake to pay the compa ny merely on demand any sum f r o m  t i m e  t o    t i m e    d e m a n d e d    b y    t h e    C o m p a n y    u p  t o    a    m a x i m u m ofRupees Only being the amount of security deposit against any loss or damage caused to  or suffered by or would be caused to or suffered by the company by reason of any breach by  the said contractor of any of the terms and conditions contained in the said contract,Onerous,"The clause obligates the bank to pay on mere demand without specifying conditions for such demand, potentially leading to significant financial liability without due recourse or verification of claim validity."
We the Bank do hereby under take to pay the amount so demanded  by the Company without any demur merely on a demand from the Company stating that the amount claimed is due by way of loss or damage caused to or suffered or would be caused to or suffered by the Company by reason of breach by the said contractor of any of the terms and conditions contained the said contract,Onerous,"The clause obligates the bank to pay upon simple demand without dispute or evidence, significantly increasing the bank's risk exposure regardless of actual breach or loss verification."
Any such demand made on the bank shall be conclusive as regards  the amount due and payable by the Bank under this Guarantee,Onerous,"This clause limits the bank's ability to dispute the demanded amount, potentially obligating payment without verification, thereby increasing the bank’s risk and exposure under the guarantee."
We the Bank undertake to pay the Company any money so demanded notwithstanding any dispute or disputes raised by the said contractor in any suit o r proceeding pending before any Court or Tribunal relating thereto our liability under this pr esent being absolute and unequivocal The payment so made by us under this guarantee sha ll be a valid discharge of our liability for payment there under and the said contractor shall  have not claim against us for making such payment,Onerous,"The bank commits to paying despite any disputes, making its liability absolute and removing the contractor's right to claim, which heavily favors the Company over the contractor."
We the Bank further agree the guarantee herein contained shall remain in full force and effect during the period that would be taken for the performance of th e said contract and that shall,Neutral,"The clause simply states that the guarantee will last until the contract is fulfilled, reflecting standard practice without imposing additional burdens or risks on either party."
continue to be enforceable till all the dues of the company und er or by virtue of the said contract have been fully paid and its claim satisfied or discharged or t ill the company certifies that the terms and conditions of the said c ontract have been fully and p roperly carried out by the contractor and accordingly discharges this guarantee,Onerous,"The clause extends liability until all dues are paid or performance certified, placing long-term obligations on the guarantor, potentially increasing risk and financial burden."
We the Bank further agree with the said company that they shall  have the fullest liberty without our consent and without affecting in any manner our obligations  hereunder to vary any of the terms and conditions of the said contract or to extend time of performance by the said contractor or to postpone for any time and from time to time any of the po wers exercisable by it against the contractor and either to enforce or forbear from enforcing any of the terms and conditions governing the said contract or securities available to the comp any and the said bank shall not be released from its liability under these presents any exercis e by the company of the liberty with reference to the matters af oresaid or by reason of time be ing given to the said contractor or any other forbearance act or omission on the part of the co mpany or any indulgence by the company to the said contractor or any other matter or thing wha tsoever which under the law relating to securities but for this provision have the effect  of so relieving us,Onerous,"The clause removes the bank's right to object to any changes in the contract terms, time extensions, or enforcement decisions, significantly increasing the bank's risk exposure."
This guarantee shall not be affected by any change in the const itution of the Bank or the company or the said contractor nor shall this guarantee be affe cted by any change in the constitution of the company or the said contractor by absorptio n with any other body or corporation and this guarantee shall be available to or enforce able by such body or corporation,Neutral,"The clause ensures the guarantee's validity despite any structural changes in the related parties, maintaining rights and obligations, thereby not disproportionately favoring any party."
Notwithstanding anything contrary contained in any law for the  time being in force or banking practice this guarantee shall not be assignable or transferabl e by the beneficiary Notice or invocation by any person such as assignee transferee or agent of beneficiary shall not be entertained by the Bank Any invocation of guarantee can be mad e only by the beneficiary directly,Onerous,"Restricts beneficiary's ability to assign or transfer guarantee rights, limiting flexibility and control over their financial/legal options, potentially complicating business transactions."
Notwithstanding anything contained herein above a Our liability under this Bank Guarantee shall not exceed Rupee s,Neutral,"This clause caps the bank's liability, standard in guarantees; ensures clarity in financial commitments. Not particularly disadvantageous or harsh to any party involved."
b This Guarantee shall be valid  up to per the term agreed in the  c o n t r a c t  a n d ,Neutral,"The clause aligns the guarantee's validity with the contract term, creating a standard and predictable obligation, without imposing excessive burdens or risks on any party involved."
   date of expiry of Bank Guarantee as c We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or  d e m a n d  w i t h i n  i t s validity that is on or before date of expiry of Bank G uarantee,Neutral,"This clause standardly requires a written claim within the guarantee's validity, focusing on procedural conformity without imposing additional, harsh conditions on the beneficiary."
For Name of the Bank Seal of the Bank Signature Name and Designation of the authorized Signatory Notes a The Bank Guarantee should contain the name Designation and cod e no of the officers signing the guarantee,Neutral,"This clause standardizes the guarantee by requiring identification details of officers, enhancing transparency and accountability. This does not impose unfair terms on any party involved."
b The address telephone no and other details of the Head Office  of the bank as well as of issuing Branch should be mentioned on the covering letter of  issuing Branch,Neutral,"The clause simply ensures proper identification and communication channels for the bank's main and issuing offices, which is standard and does not impose unreasonable burdens."
c We have power to issue this Guarantee in your favor and the und ersigned has full power to do so,Neutral,"This clause simply asserts the authority and capacity to issue the guarantee, indicating legitimacy and proper authorization without imposing additional burdens or responsibilities on the guarantor or beneficiary."
Page 1 of 2 FORMAT FOR PERFORMANCE BANK GUARANTEE PBG To be on non judicial stamp paper of appropriate value as per Stamp Act relevant to place of execution To be issued from SFMS enabled Bank Ref Bank Guarantee No          Date2024 To Himachal Pradesh State Electricity  Board  Limited CIN U40109HP2009SGC031255  Vidyut Bhawan HPSEBL Shimla 171004 HP,Neutral,"The clause outlines administrative requirements for a bank guarantee, such as the format and origin specifics, but imposes no unfair terms on either party involved."
1 In consideration of the   name and address of the Applicant  Vendor hereinafter referred to as  Vendor for Rooftop So lar installation  submitting the response to the Office Memorandum issued by Ministry of New and Renewable Energy MNRE Govt of India dated 2nd Feb 2022  10th June 2022 inter alia for installation of grid connected rooftop solar plant at residential b uilding under Simplification of Procedure  Rooftop Solar Programme Ph II through National portal as per terms  conditions specifications standards specified issued from Ministry and subsequent guidelines issued by the Himachal Pradesh State Electricity Board  Limited hereinafter referred to as  HPSEB L or Implementing Agency  and considering such response of name of the Applicant  Vendor as per the terms and conditions of the Office Memorandum  amendment thereof the   name  addre ss of Bank hereby agrees unequivocally irrevocably and unconditionally to pay to Himachal Pradesh State Electricity Board Limited  at Vidyut Bhawan HPSEBL Shimla 171004 HP forthwith on demand in writing from Himachal Pradesh State Electricity Boar d Limited  or any Officer authorized by it in this behalf any amount upto and not exceeding Rs,Onerous,"The guarantee clause demands unconditional and irrevocable payment ""forthwith on demand"" by HPSEB Limited without stipulating any defense, making it burdensome and advantageous to the beneficiary."
250000 Rs Two Lakh Fifty Thousand only on behalf of  Ms  name of the Applicant  Vendor 2 This guarantee shall be valid and binding on this Ba nk up Five 05 Years from date of issuance of the BG and shall not be terminable by notice or any change in the constitution of the Bank or the term of contract or by any other reasons whatsoever and our liability hereunder shall not be impaired or discha rged by any extension of time or variations or alternations made given or agreed with or without our knowledge or consent by or between parties to the respective agreement,Onerous,"This clause is onerous as it extends the bank's liability for five years, irrespective of any changes, and prohibits termination or modifications without affecting the bank’s obligations."
3 Our liability under this Guarantee is restricted to Rs 250000  Rs Two Lakh F ifty Thousand only,Neutral,"The clause merely specifies a limit on the liability, which is a standard practice in bank guarantees to define risk exposure, not inherently disadvantageous to either party."
4 Our Guarantee shall remain in force until  Insert the Exact Date completing on 5 Years counting from Date of signing of BG  and Himachal Pradesh State Electricity Board Limited  shall be entitled to invoke this Guarantee til l  Insert the Exact Date completing on 5 Years counting from Date of signing of BG  ,Neutral,"The clause specifies a clear, fixed duration for the guarantee, aligning with standard practices without imposing additional, unusual risks or obligations on either party."
5      The Guarantor Bank hereby agrees and acknowledges that the Himachal Pradesh State Electricity Board  Limited shall have a right to invoke this BANK GUARANTEE in part o r in full as it may deem fit,Neutral,"This clause is standard, granting the beneficiary flexibility in invoking the guarantee as needed, without imposing additional burdens on the guarantor."
6 The Guarantor Bank hereby expressly agrees that it shall not require any proof in addition to the written demand by Himachal Pradesh State Electricity Board  Limited  made in any format raised at the above mentioned  address of the Guarantor Bank in order to make the said payment to Himachal Pradesh State Electricity Board  Limited ,Onerous,"It obligates the bank to pay without additional proof, increasing risk of unjustified claims. This reduces the bank's ability to safeguard against fraudulent or erroneous demands."
7 The Guarantor Bank shall make payment hereunder on first demand without restriction or conditions and notwithstanding any objection by  Ms  name of the Applicant  Vendor andor any other,Onerous,"This clause obligates the Guarantor Bank to pay on-demand without considering any objections from the applicant or others, which heavily restricts the bank's ability to dispute or delay payment."
Page 2 of 2 person The Guarantor Bank shall not require Himachal Pradesh State Electricity Board  Limited  to justify the invocation of this BANK GUARANTEE nor shall the Guarantor Bank have any recourse against Himachal Pradesh State Electricity Board  Limited  in respect of any payment made hereunder,Neutral,"This clause is standard, stating the bank can't oppose the beneficiary's demand under the guarantee, emphasizing the unconditional nature typical of such instruments."
8 This BANK GUARANTEE shall be interpreted in accordance with the laws of India and the courts at SHIMLAHIMACHAL PRADESH  shall have exclusive jurisdiction T he Guarantor Bank represents that this BANK GUARANTEE has been established in such form and with such content that it is fully enforceable in accordance with its terms as against the Guarantor Bank in the manner provided herein,Neutral,This clause simply establishes jurisdiction and does not impose additional burdens or unfair terms on either party involved in the agreement.
9 This BANK GUARANTEE shall not be affected in any manner by reason of merger amalgamation restructuring or any other change in the constitution of the Guarantor Bank,Neutral,"The clause ensures the guarantee remains valid despite any structural changes in the bank, thereby not imposing additional risks or burdens on either party involved."
10 This BANK GUARANTEE shall be a primary obligation of the Guarantor Bank and accordingly Himachal Pradesh State El ectricity Board  Limited  shall not be obliged before enforcing this BANK GUARANTEE to take any action in any court or arbitral proceedings against the Vendor to make any claim against or any demand on the Vendor or to give any notice to the Vendor or to en force any security held by Himachal Pradesh State Electricity Board  Limited  or to exercise levy or enforce any distress diligence or other process against the Vendor,Onerous,"This clause imposes a direct, immediate obligation on the bank to pay without requiring prior actions against the vendor, increasing the bank’s risk and liability."
11 Notwithstanding anything contained hereinabove our liability under this Guarantee is restricted to Rs 250000  Rs Two Lakh Fifty Thousand only and it shall remain in force until   Insert the Exact Date completing on 5 Years counting from Date of signing of BG  with an additional claim period of thirty 30 days thereafter  We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only if Himachal Pradesh State Electricity Board  Limited serves upon us a written claim or demand,Neutral,"Sets clear financial limits and duration for liability, which is standard protective practice for issuers, not excessively burdensome."
For  Insert Name  of the Bank  Bankers Stamp and Full Address,Neutral,"This clause simply requires identification details of the bank, facilitating clear communication and record-keeping without imposing any burdensome obligations or risks on the parties involved."
Bank Contact Details  E Mail ID is to be provide Witness   ,Neutral,"This clause merely requires providing an email ID for contact purposes, which does not impose significant obligations or liabilities on any party involved."
Note Receiver deta ils Himachal Pradesh State Electricity Board Limited  FA Wing Shimla 4 Bank Name of HPSEBL  Address  SBI Bank  Main Branch Shimla,Neutral,"This clause merely specifies contact and address information for administrative purposes, imposing no burdensome obligations or risks on the parties involved."
